"00-Polarization:0","00-Polarization:1","00-Polarization:2","09-FranckEnergyDensity","Points:0","Points:1","Points:2"
-5.81238e-01,-8.13733e-01,0.00000e+00,6.89918e-02,8.00000e+00,5.50000e+00,0.00000e+00
-5.91364e-01,-8.06405e-01,0.00000e+00,5.88526e-02,8.25000e+00,5.50000e+00,0.00000e+00
-6.00000e-01,-8.00000e-01,0.00000e+00,5.07889e-02,8.50000e+00,5.50000e+00,0.00000e+00
-6.07450e-01,-7.94358e-01,0.00000e+00,4.42722e-02,8.75000e+00,5.50000e+00,0.00000e+00
-6.13941e-01,-7.89352e-01,0.00000e+00,3.89308e-02,9.00000e+00,5.50000e+00,0.00000e+00
-6.19644e-01,-7.84883e-01,0.00000e+00,3.45733e-02,9.25000e+00,5.50000e+00,0.00000e+00
-6.24695e-01,-7.80869e-01,0.00000e+00,3.07779e-02,9.50000e+00,5.50000e+00,0.00000e+00
8.13733e-01,5.81238e-01,0.00000e+00,3.02709e-02,5.00000e-01,5.75000e+00,0.00000e+00
8.19232e-01,5.73462e-01,0.00000e+00,3.39706e-02,7.50000e-01,5.75000e+00,0.00000e+00
8.25307e-01,5.64684e-01,0.00000e+00,3.81300e-02,1.00000e+00,5.75000e+00,0.00000e+00
8.32050e-01,5.54700e-01,0.00000e+00,4.32341e-02,1.25000e+00,5.75000e+00,0.00000e+00
8.39570e-01,5.43251e-01,0.00000e+00,4.94193e-02,1.50000e+00,5.75000e+00,0.00000e+00
8.47998e-01,5.29999e-01,0.00000e+00,5.70091e-02,1.75000e+00,5.75000e+00,0.00000e+00
8.57493e-01,5.14496e-01,0.00000e+00,6.64534e-02,2.00000e+00,5.75000e+00,0.00000e+00
8.68243e-01,4.96139e-01,0.00000e+00,7.83912e-02,2.25000e+00,5.75000e+00,0.00000e+00
8.80471e-01,4.74100e-01,0.00000e+00,9.37516e-02,2.50000e+00,5.75000e+00,0.00000e+00
8.94427e-01,4.47214e-01,0.00000e+00,1.13918e-01,2.75000e+00,5.75000e+00,0.00000e+00
9.10366e-01,4.13803e-01,0.00000e+00,1.41006e-01,3.00000e+00,5.75000e+00,0.00000e+00
9.28477e-01,3.71391e-01,0.00000e+00,1.78342e-01,3.25000e+00,5.75000e+00,0.00000e+00
9.48683e-01,3.16228e-01,0.00000e+00,2.31352e-01,3.50000e+00,5.75000e+00,0.00000e+00
9.70143e-01,2.42536e-01,0.00000e+00,3.25294e-01,3.75000e+00,5.75000e+00,0.00000e+00
9.89949e-01,1.41421e-01,0.00000e+00,5.12711e-01,4.00000e+00,5.75000e+00,0.00000e+00
1.00000e+00,-1.11022e-16,0.00000e+00,8.22843e-01,4.25000e+00,5.75000e+00,0.00000e+00
9.80581e-01,-1.96116e-01,0.00000e+00,1.21271e+00,4.50000e+00,5.75000e+00,0.00000e+00
8.94427e-01,-4.47214e-01,0.00000e+00,1.55903e+00,4.75000e+00,5.75000e+00,0.00000e+00
